G6qZmeXGAbgaWb9rEgqHSDmG1NywTCpw4gMktrWKrU7s	BXpUTrZprikYntwoSN2YUf8p53qMi1XjAZyGkX3gUGcf	20000000.00	20.00
H48Q7SqE9uSJXYd1PmPkincHQCQ3V7a29DCn9j3NzwTC	A5zZox7rRJ5LjpUYDTxttBEzxN914r9HXZV9J3ZQ61GM	13814577.41	13.81
9YRHWGQw7SB526YTaLej8UNirRSm4j5mcsXbeJf7geQb	ADyeggRGj3Q3pZdFdHdQChiowLqUNYcYiyAukvbenbER	13000000.00	13.00
D2gxjTJB1kLc9ktdCiMBayXxJVdVDAjMNPpnhHfmVhjk	9SWJ6W45Z5dYnQynZBUg15RKNZ4awQRWoUBW9R5gmApU	10000000.00	10.00
Hk3L6yEHGVfS6AGjTryR2FeS3wshdydq2xC6QwQsaRa6	HcWEisuEFCB8DiidSzKzFQ2baEhHa7RsLjtYn3nLdkzf	9016231.27	9.02
D2wBSPzo2urQnJUR8DgZAns2AuQCiivDpXg7CxN1oRkE	A2JKgWvizEU34shSs5BkWLtHMNVCbnFFcNERae7cd9S7	7500000.00	7.50
BPyx7cBmWqZR64NRn5K6EgM7HCdUkof7xXcMw3TqAEac	E1kXJKBY1vMJbFgeME2mRunfdTcY3iZm66Zatifk486v	6726877.52	6.73
G26KzUByQ9TLcfaZtfQuUj3CzcB1WgTeUDof8tCn1c8P	48F3H3nmKogqK1WPug8wLSRPEesiA3gNurV8Lk8aET8d	5000000.00	5.00
2pRt61iMFE8KcNaWPmqkzjkZd9qYXdRbJEwmzbqPjuox	HTtVteQtW9in86VN6Vwz7ihbhRhM4XcPJY2djhWzVGV	5000000.00	5.00
GcVhsDebgQ1XaGaEtvgPr6kD8W7j221znUJh3HYvTakP	Hg8pW6uwKCvM58aK1wwEBCKmQVYRHyskkkGFc751CswA	3486957.75	3.49
GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL	28jELDyXWcKb6Rx4wFfeQcyTFk5VEyPk4kurUXuTjSMP	2180824.61	2.18
6BZjTMdMkGvF1NQ55UFJ7HC8FPay3Ssj3pTufBfbwfGN	4bRFuufNsbXuZfrsSZHgKrMnL9DJvWMUGdzr2hZuetLQ	1359718.81	1.36
DcnKLvaGoooXCqQ5tDwZnH6Bt7wbztVaesW4bgo9rRi4	4dfxYq9PJA5mMPH5X4axEMT7VaFRpwmUykcKGnCcFYQg	492929.97	0.49
8cDErwzk1aNHoecAM3o9zheVojpyDT3122RHmY4wiyfy	GfvG2deDnAYokfmdnwNcGCGW96Yaoupr7caWK8GZToVi	296444.21	0.30
93vqgnghJmC6XGPJNsJ13VaZz9f44DXTmVvVi45YGNMn	97RhskTx1Fs884G34gY9CRWeXXFx2m6hsNHLjXCXxbH1	291500.00	0.29
5zUCqfGjxnv1gGYmViMSSro8aGwKb45wsdF2KBG89jAB	3bYDj6DRDh4gWyUbyE95fbvzaqQ2JmtqvWayBcnAdWz3	150582.76	0.15
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1	4JXxBNUXzR2zmxu6kd2PfVtJLwiPnUW4FswRdcLnB9WX	137057.21	0.14
CztdQ7b8zeFULrqmdXESRxHbWEBH4hiqznrynL9jV6dD	AeExUzfR7j9BzpUA8QQ8KazKF3PSLz7TPJUypayP33eZ	71948.85	0.07
8ZppP9wYFCtioynp3y6UZvRvi7ZZpQPh5nxp4dAnyvWM	3GQopGe5fqzmhW5cRkk49XW5NkV1BYzjhoCH6CE9Kx5W	61084.31	0.06
89r3QW8a53fV5DZUcHM58aWVeDTnibRV4t9mtnZ36Ebc	BMguHiEioAp8qbFiFiW7v5q9Ud7jgn8DkaE4GtLDybV7	26653.34	0.03
DMCC12n1Dq1s24aiV3G5ygMT1nSku766LAxGsRBXk5wd	Xgt8MPMwPRaW8ECbtAuaXnFdHuBedcyj6JHEVgjm2Xw	25801.91	0.03
8nYgP8ZfjfFhcSzc6KvEYsRL1cCHTBoew6m9rnsfyeW3	8PYPXoF5VYm7YaBcaYaxuhVBMPAMTJvo81FPHod4NaDS	16079.07	0.02
5dg8LvtwBvYhDNvzsB4m2dWMjgrUkLGBczJnWwyZjA2Q	HfMQ8yjMcBigtJ8JvjyZ2uC4moDbHRMygnVMC98ucqHs	10000.00	0.01
Em7BY8sZrysKMqc1T29adSkotz2ppj6HQJ7dH9ZpSQFt	FUG8rPGA6Xpk7jWWrpwyy171eRPW8VwHyEHxxRhuCyQ4	7725.37	0.01
99aecLDD1oX425jFUg3d1UbPeFQHqoQokUY9h3iGj871	52LUnCzNMJ9QsGKtfAmGKSzoZJBQGeZXJrk8iJ7cBhz5	6618.07	0.01
GX9AEwPMG8vqnMgJW3CYv99yXPSULNqWSSEwNXzdPiTp	2ERu5FJmGBKVDFxNT6quBsLDwAuDbqvAts244oVLJLpt	6605.82	0.01
BPzdzLCKw36rpZmoCxMfxU1mJxMmDyH2yy2qv3Jc8sGN	7meSXbxfHfdB9ByLZYdvhgSiBPGPHA9opz79eWi1vjuC	6599.95	0.01
2Gq3tMF1o3QP5b66WNZXpRynJ46ZZr7mZjdbjQQqxsS6	5xM2hrFU6gThFXubzqh5iQjQVGot17ufBA14GZk9X6jg	5505.60	0.01
EnVLGwzNmoJMVMuPXrCzZVBNR3ZJ6jQFY4QUvTAo7ypH	BALWGvRHUn7ip4wWx6HHN4UB8GzCWp1QzhyEUxuHvQiM	5198.71	0.01
HxLNWLPWM6hYpUeX5uopq5RdZHR6G3BM9mr9dtcohFUF	FoRW5cCTbaW4yFj9V32LTmz6mtrRDiwcigRpkveAfX5	3945.16	0.00
6CQbmtHxcQisvZF5oxU24j2fQv69ZYsrEPU1JzicRyuw	HNX18aAui2uavjDqAkQ9RcnEziKpenG4zykx9DVHJg3S	3272.16	0.00
8f8zH77s7qXMUrS3yzz8uzhq2b6BHBAkmcoPWdfwGM2X	6KgXdkSgkbxUfJKLrwmcMWLG1Tt3mhurZgDT1uUN4NV1	2221.04	0.00
8eYz4kxXcuDBJWGY7o8woTpTYQcBQqZQfKGEqg4qQ5wS	GBpk6WkjMuW7g1mRoC9Xe8GXh6yL2c9Gy2unu5T5STa4	1748.06	0.00
43YngwkgNswnktMR1UmdaJbZ6TpeJf6sbe15oa5i9dUy	5aj8XdNNRMsvB4iMS143f4omSKrrGhPj88aKhC5A1J47	1635.59	0.00
FrFcyrqc8aMg9GrWLxnpU5BvL1DxfjN4ECMauwzLoH8K	6jDpE7FbopQSNJi52m7QjxT2LNHzP4YZBxzvcW8EcFpZ	1634.95	0.00
EzjL8Aqfzq4CqLDer29sQg7aJ4ykfx3wHrn5SobM2nF3	DtyP4YmnAmQdAX37gjgpXREjLKhKtBL8vRB51zYHUmrH	1394.58	0.00
7d4haAvNyZJnpVLmADtdmdDNbUkcVkZh4ks1oF8UV7TR	6FGBfrsTv5UpG6y7XaY1tfKY68bN65qearEx3STjTY8A	1000.00	0.00
CE3HLmzzroupapmgVHYLFYFzQr2jG5jNfvA1MWDaf28o	4ruWKvBmQLXHQbt4tcNBVTUPBhX4HAhFQBGusDVEHb2F	760.53	0.00
FvG7HxphfrsdcxmMLkBxMMvdupx4LDk7SxDCoCKsCGrg	Gf4ATL1zzGYvMRYgRdmUkTxRWiozyTdBJsNBFVReyefg	649.54	0.00
4zFjYCipz35msw1xsKyTXqP8KuFKDV2J6Pzz4HMFJrh4	Fy52SSXpoiP3ZWoPjNXPSUxzYkp1T8kgYabtBX3BJHuy	286.34	0.00
BqVJWsGB5ibBPnaDiCA33HMsb3ZwrCGws9awywa2n1sL	AGK4Z5ckZHTd7PQGMwt4RyMavyDk1JPNmS9j2VL8PJM4	176.62	0.00
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp	2XWiS9KidNa3hZttrWYbQZSL9vw8oJzcgEVwLZdRtUBn	132.48	0.00
Gp7n44rAPxNzw25jmeAjRx8PMdaPjn2b7b7zVPgGesCX	CK3D1zZmMj1nVxriLjJHr9rvd8xbo7n2wY2tRAmMhwbC	100.00	0.00
9YwtWKdNczTzJHMbVdh1J3ZFWAVmYPpCPR7FwoMvZkVx	6GFo4udwFGym3Bj2gDBdgjhQ2Kjo9pvHSxuMpQMGibX3	89.06	0.00
5niysgHXFoa8apmrgeBNRXJ6yPiz4WnMnVnAobUXoaMh	Gm4X1BVF5yHVv8MrZM4zCAhc9XrjWZ7rhQNrP1NoGpXK	66.63	0.00
2ois1yQ7pEQjQkjohnN9rYBk8HWmAfCStWCFzc535W72	AnySF4EQkmVdt5rPiuQrWRPrL4jFqbwCme3MYd2FQQh4	56.77	0.00
wormnduySVDzdS97MrtCqMNq2AJZom4LayknB8R1HNS	HfvgCEKB8wqfYxKAX8u6peZU55VaUqsURt5Vfq8Jt8uV	45.58	0.00
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp	6uqefsstSYPuNy81fTaqDVFsZMCcS4NoXbUyQc9j1zic	44.96	0.00
DQeJQ91Uzcuyk4iAtpQ9FwD8Ddwr62NeWd8hoE1kgLLs	6hzt7QWFQ1MznCFswbFJm1zmwwiuHo6urtRSoiCRSf2k	34.73	0.00
BQ72nSv9f3PRyRKCBnHLVrerrv37CYTHm5h3s9VSGQDV	EhDV7wzsUNyU3r3RR5snuYTojHfMV4DPBQLyqFFaMAjx	24.74	0.00
EJiwUFGLkK1XFh6ARwXvMTKbT4Zs52WwDGyNTjSfTW8T	DL7QwNV7P7qdRCbo3U6P1Zhx1u2t2b9qXoVEwGioFXKT	21.37	0.00
GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL	EWcKmQtGVKdBmx1v143B5CC3Q6m7HATh4mBtGK5LyJZA	12.93	0.00
2j3MGgjTZnf5woD1dV9XScaSy5SxPeKh5eTTzcpZ142z	6gpLQhwfo6zyXW3rXyMCkoxWybuPbYtLQoeXKhLK8sVU	7.58	0.00
C1ZGZDm2St1nnoqAjHzTsAoJoPQMzgtAMXwnMjbxF3nm	HoVDKw935J98k5S7HqDsghBury9RJdJBDSRP2Kp2RwYD	1.41	0.00
DoP4TDp3rgEtYazhfkKQjkpzprcwMETcXkJ984kxntgt	8EPsWJpeuiYvgKBBVxhnrexXjL43gbzFtv344QVxRRSD	0.00	0.00
BKHXmDNrVBiGP3mBxyrn5dGkG4ofiqbqJFdPG9AJpCPq	DE7hdCj4D9kcC4UN2i8njLmYPCP8Xfsj3SaQHbQ7kx8S	0.00	0.00
